driverStandingsId,driverId,points,position,wins
1,1,10.0,1,1
2,2,8.0,2,0
3,3,6.0,3,0
4,4,5.0,4,0
5,5,4.0,5,0
6,6,3.0,6,0
7,7,2.0,7,0
8,8,1.0,8,0
9,1,14.0,1,1
10,2,11.0,3,0
11,3,6.0,6,0
12,4,6.0,7,0
13,5,10.0,4,0
14,6,3.0,9,0
15,7,2.0,10,0
16,8,11.0,2,1
17,9,8.0,5,0
18,15,5.0,8,0
19,17,2.0,11,0
20,14,0.0,12,0
21,18,0.0,13,0
22,12,0.0,14,0
23,21,0.0,15,0
24,22,0.0,16,0
25,19,0.0,17,0
26,11,0.0,18,0
27,1,14.0,3,1
28,2,16.0,2,0
29,3,7.0,8,0
30,4,6.0,9,0
31,5,14.0,5,0
32,6,3.0,11,0
33,7,2.0,12,0
34,8,19.0,1,1
35,9,14.0,4,0
36,15,8.0,7,0
37,17,4.0,10,0
38,14,0.0,13,0
39,18,0.0,15,0
40,12,0.0,17,0
41,21,0.0,18,0
42,22,0.0,16,0
43,19,0.0,19,0
44,11,0.0,20,0
45,13,10.0,6,1
46,10,0.0,14,0
47,16,0.0,21,0
48,1,20.0,2,1
49,2,16.0,5,0
50,3,7.0,9,0
51,4,6.0,10,0
52,5,14.0,6,0
53,6,5.0,11,0
54,7,2.0,13,0
55,8,29.0,1,2
56,9,19.0,3,0
57,15,9.0,7,0
58,17,8.0,8,0
59,14,0.0,15,0
60,18,3.0,12,0
61,12,0.0,18,0
62,21,0.0,16,0
63,22,0.0,17,0
64,19,0.0,20,0
65,11,0.0,19,0
66,13,18.0,4,1
67,10,0.0,14,0
68,16,0.0,21,0
69,1,28.0,3,1
70,2,20.0,5,0
71,3,8.0,10,0
72,4,9.0,8,0
73,5,14.0,6,0
74,6,5.0,11,0
75,7,2.0,13,0
76,8,35.0,1,2
77,9,24.0,4,0
78,15,9.0,9,0
79,17,10.0,7,0
80,14,0.0,14,0
81,18,3.0,12,0
82,12,0.0,18,0
83,21,0.0,16,0
84,22,0.0,17,0
85,19,0.0,20,0
86,11,0.0,19,0
87,13,28.0,2,2
88,10,0.0,15,0
89,16,0.0,21,0
90,20,0.0,22,0
91,1,38.0,1,2
92,2,20.0,5,0
93,3,8.0,10,0
94,4,9.0,8,0
95,5,15.0,6,0
96,6,7.0,11,0
97,7,2.0,15,0
98,8,35.0,2,2
99,9,32.0,4,0
100,15,9.0,9,0
101,17,15.0,7,0
102,14,0.0,16,0
103,18,3.0,13,0
104,12,0.0,19,0
105,21,0.0,18,0
106,22,3.0,14,0
107,19,0.0,21,0
108,11,0.0,20,0
109,13,34.0,3,2
110,10,0.0,17,0
111,16,0.0,22,0
112,20,4.0,12,0
113,1,38.0,2,2
114,2,28.0,5,0
115,3,8.0,10,0
116,4,9.0,9,0
117,5,15.0,6,0
118,6,7.0,11,0
119,7,2.0,17,0
