qualifyId	driverId	number	position
1	1	22	1
2	9	4	2
3	5	23	3
4	13	2	4
5	2	3	5
6	15	11	6
7	3	7	7
8	14	9	8
9	10	12	9
10	20	15	10
11	22	17	11
12	4	5	12
13	18	16	13
14	6	8	14
15	17	10	15
16	8	1	16
17	21	21	17
18	7	14	18
19	16	20	19
20	11	18	20
21	12	6	21
22	19	19	22
23	13	2	1
24	8	1	2
25	5	23	3
26	1	22	4
27	15	11	5
28	9	4	6
29	2	3	7
30	17	10	8
31	4	5	9
32	10	12	10
33	18	16	11
34	14	9	12
35	12	6	13
36	22	17	14
37	20	15	15
38	3	7	16
39	21	21	17
40	6	8	18
41	7	14	19
42	11	18	20
43	16	20	21
44	19	19	22
45	9	4	1
46	13	2	2
47	1	22	3
48	8	1	4
49	5	23	5
50	2	3	6
51	15	11	7
52	3	7	8
53	18	16	9
54	4	5	10
55	17	10	11
56	22	17	12
57	10	12	13
58	12	6	14
59	7	14	15
60	6	8	16
61	14	9	17
62	21	21	18
63	20	15	19
64	16	20	20
65	19	19	21
66	11	18	22
67	8	1	1
68	4	5	2
69	13	2	3
70	9	4	4
71	1	22	5
72	5	23	6
73	17	10	7
74	15	11	8
75	2	3	9
76	12	6	10
77	22	17	11
78	6	8	12
79	18	16	13
80	10	12	14
81	3	7	15
82	7	14	16
83	14	9	17
84	20	15	18
85	21	21	19
86	16	20	20
87	19	19	21
88	11	18	22
89	13	2	1
90	5	23	2
91	1	22	3
92	8	1	4
93	9	4	5
94	17	10	6
95	4	5	7
96	15	11	8
97	2	3	9
98	14	9	10
99	3	7	11
100	22	17	12
101	18	16	13
102	20	15	14
103	10	12	15
104	6	8	16
105	12	6	17
106	7	14	18
107	21	21	19
108	16	20	20
109	13	2	1
110	8	1	2
111	1	22	3
112	5	23	4
113	9	4	5
114	3	7	6
115	4	5	7
116	15	11	8
117	17	10	9
118	14	9	10
119	10	12	11
120	18	16	12
121	2	3	13
122	6	8	14
123	22	17	15
124	7	14	16
125	12	6	17
126	20	15	18
127	16	20	19
128	21	21	20
129	1	22	1
130	9	4	2
131	8	1	3
132	4	5	4
133	3	7	5
134	13	2	6
135	5	23	7
136	2	3	8
137	22	17	9
138	17	10	10
139	10	12	11
140	6	8	12
141	14	9	13
142	15	11	14
143	12	6	15
144	7	14	16
145	16	20	17
146	21	21	18
147	18	16	19
148	20	15	20
149	8	1	1
150	13	2	2
151	1	22	3
152	4	5	4
153	15	11	5
154	5	23	6
155	9	4	7
156	17	10	8
157	14	9	9
158	10	12	10
159	12	6	11
160	2	3	12
161	20	15	13
162	7	14	14
163	3	7	15
164	6	8	16
165	18	16	17
166	22	17	18
167	21	21	19
168	16	20	20
169	5	23	1
170	17	10	2
171	8	1	3
172	1	22	4
173	2	3	5
174	4	5	6
175	12	6	7
176	20	15	8
177	13	2	9
178	9	4	10
179	14	9	11
180	10	12	12
181	7	14	13
182	15	11	14
183	6	8	15
184	22	17	16
