circuitId,name,location
1,Albert Park Grand Prix Circuit,Melbourne
2,Sepang International Circuit,Kuala Lumpur
3,Bahrain International Circuit,Sakhir
4,Circuit de Barcelona-Catalunya,Montmeló
5,Istanbul Park,Istanbul
6,Circuit de Monaco,Monte-Carlo
7,Circuit Gilles Villeneuve,Montreal
8,Circuit de Nevers Magny-Cours,Magny Cours
9,Silverstone Circuit,Silverstone
10,Hockenheimring,Hockenheim
11,Hungaroring,Budapest
13,Circuit de Spa-Francorchamps,Spa
14,Autodromo Nazionale di Monza,Monza
15,Marina Bay Street Circuit,Marina Bay
16,Fuji Speedway,Oyama
17,Shanghai International Circuit,Shanghai
18,Autódromo José Carlos Pace,São Paulo
19,Indianapolis Motor Speedway,Indianapolis
20,Nürburgring,Nürburg
21,Autodromo Enzo e Dino Ferrari,Imola
22,Suzuka Circuit,Suzuka
80,Las Vegas Strip Street Circuit,Las Vegas
24,Yas Marina Circuit,Abu Dhabi
25,Autódromo Juan y Oscar Gálvez,Buenos Aires
27,Autódromo do Estoril,Estoril
28,Okayama International Circuit,Okayama
29,Adelaide Street Circuit,Adelaide
30,Kyalami,Midrand
31,Donington Park,Castle Donington
32,Autódromo Hermanos Rodríguez,Mexico City
33,Phoenix street circuit,Phoenix
34,Circuit Paul Ricard,Le Castellet
35,Korean International Circuit,Yeongam County
36,Autódromo Internacional Nelson Piquet,Rio de Janeiro
37,Detroit Street Circuit,Detroit
38,Brands Hatch,Kent
39,Circuit Park Zandvoort,Zandvoort
40,Zolder,Heusden-Zolder
41,Dijon-Prenois,Dijon
42,Fair Park,Dallas
43,Long Beach,California
44,Las Vegas Street Circuit,Nevada
45,Jarama,Madrid
46,Watkins Glen,New York State
47,Scandinavian Raceway,Anderstorp
48,Mosport International Raceway,Ontario
50,Nivelles-Baulers,Brussels
51,Charade Circuit,Clermont-Ferrand
52,Circuit Mont-Tremblant,Quebec
53,Rouen-Les-Essarts,Rouen
54,Le Mans,Le Mans
55,Reims-Gueux,Reims
56,Prince George Circuit,Eastern Cape Province
57,Zeltweg,Styria
58,Aintree,Liverpool
59,Circuito da Boavista,Oporto
60,Riverside International Raceway,California
61,AVUS,Berlin
62,Monsanto Park Circuit,Lisbon
63,Sebring International Raceway,Florida
64,Ain Diab,Casablanca
65,Pescara Circuit,Pescara
66,Circuit Bremgarten,Bern
68,Buddh International Circuit,Uttar Pradesh
69,Circuit of the Americas,Austin
70,Red Bull Ring,Spielberg
71,Sochi Autodrom,Sochi
73,Baku City Circuit,Baku
75,Autódromo Internacional do Algarve,Portimão
76,Autodromo Internazionale del Mugello,Mugello
77,Jeddah Corniche Circuit,Jeddah
78,Losail International Circuit,Al Daayen
79,Miami International Autodrome,Miami
